	NPS_common-rare	NPS_single	observed_overlap	expected_overlap_mean	expected_overlap_std	empirical_p	obs_exp	rare_dataset	common_dataset	logp	sig	lower_error	upper_error
0	3	1.5	269	282.99	13.55691337	0.848951249	0.950563624	rare_neale_20153_irnt_FDR_25	GSCAN_DPW_magma	0.071117248	FALSE	0.081592656	0.098502854
1	3	1.5	154	147.37	9.56101982	0.244016523	1.044988804	rare_neale_20016_FDR_25	GSCAN_DPW_magma	0.612580765	FALSE	0.117890062	0.152239834
2	3	1.5	153	138.76	11.91143988	0.11594794	1.102623234	rare_neale_4194_FDR_25	GSCAN_DPW_magma	0.935736965	FALSE	0.158798814	0.223044013
3	3	1.5	362	322.75	15.43980246	0.005508944	1.121611154	rare_neale_78_FDR_25	GSCAN_DPW_magma	2.258931643	FALSE	0.096150301	0.116046513
4	3	1.5	133	157.48	11.46165782	0.983652821	0.844551689	rare_neale_C50_FDR_25	GSCAN_DPW_magma	0.007158158	FALSE	0.105436341	0.140522944
5	3	1.5	174	152.84	11.44353092	0.032223157	1.138445433	rare_neale_C44_FDR_25	GSCAN_DPW_magma	1.49183191	FALSE	0.145687548	0.195801124
6	3	1.5	134	125.39	10.41431227	0.204190277	1.068665763	rare_neale_100016_FDR_25	GSCAN_DPW_magma	0.689964942	FALSE	0.149611483	0.207792795
7	3	1.5	181	128.03	11.51039096	2.09E-06	1.413731157	rare_strin_allcut_alcoholintake	GSCAN_DPW_magma	5.679234663	TRUE	0.21179504	0.302402612
8	3	1.5	363	308.43	15.94945454	0.00031146	1.176928314	rare_neale_20153_irnt_FDR_25	neale_20153_irnt_magma	3.506598219	TRUE	0.108309853	0.132741632
9	3	1.5	145	159.73	10.93421694	0.911033589	0.907781882	alcoholintake_FDR_25	neale_20153_irnt_magma	0.04046561	FALSE	0.107389149	0.140671602
10	3	1.5	146	148.2	10.64424727	0.581871834	0.985155196	alcoholintake_FDR_25	neale_4104_irnt_magma	0.235172664	FALSE	0.121570392	0.161406167
11	3	1.5	208	146.01	10.11088028	4.37E-10	1.424559962	alcoholintake_FDR_25	GSCAN_DPW_magma	9.359926583	TRUE	0.170243162	0.223713209